motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_43417	18245	2.43587e+07	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_32365	13503	2.39637e+07	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_22223	9273	1.63304e+07	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_18481	7651	4.94028e+06	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_13074	5416	3.28109e+06	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_7912	3297	1.91811e+06	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_3646	1520	1.36034e+06	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_33100	13823	1.15833e+06	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_48681	20380	998739	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_47118	19741	811641	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_9912	4078	797521	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_3615	1505	790705	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_38405	16072	568603	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_43979	18458	558281	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_43991	18463	482970	tp
/var/folders/02/8xlc9n4x3gv96_rj588v5bqh0000gn/T//RtmpETxpCX/1	MA1930.2	CTCF	tipseq_peak_43977	18456	428099	tp
